# 中文 TTS 难例集（zh_hardcase）· 测试定义，随仓库版本化
#
# 格式：uid <TAB> TTS输入文本 <TAB> CER参考文本（留空 = 与输入相同）
#   - 输入文本：喂给 TTS 合成
#   - 参考文本：与 ASR 转写比对算 CER。数字类必须给口语形式，
#     因为 TTS 读「二零二六年」而 ASR 转写也是汉字，用书面形式「2026年」比对会全错
#
# 四类难例（`prepare_tts.py` 物化到 data_root/tts/zh_hardcase/）：
#   tw   绕口令   —— 连续相似音位，测发音区分度
#   long 长句     —— >40 字，测韵律稳定性与截断（配合 del_rate/len_ratio 看）
#   num  数字读法 —— 测前端文本规范化（⚠️ 高方差，见文末说明）
#   hom  同音重复 —— 同音字密集/叠字，测鲁棒性
#
# ---------------- 绕口令（40）----------------
hard_tw_001	四是四，十是十，十四是十四，四十是四十
hard_tw_002	红鲤鱼与绿鲤鱼与驴
hard_tw_003	吃葡萄不吐葡萄皮，不吃葡萄倒吐葡萄皮
hard_tw_004	黑化肥发灰会挥发，灰化肥发黑不挥发
hard_tw_005	牛郎恋刘娘，刘娘念牛郎
hard_tw_006	扁担长，板凳宽，扁担没有板凳宽
hard_tw_007	门前有四辆四轮大马车
hard_tw_008	八百标兵奔北坡，炮兵并排北边跑
hard_tw_009	粉红墙上画凤凰，凤凰画在粉红墙
hard_tw_010	初级测试测初级，初级测试要仔细
hard_tw_011	七加一，再减一，加完减完等于几
hard_tw_012	山前有座庙，庙前有座山
hard_tw_013	白石塔，白石搭，白石搭白塔
hard_tw_014	平平和萍萍来到北京比拼乒乓
hard_tw_015	刘奶奶找牛奶奶买牛奶
hard_tw_016	三山四水春常在，四水三山春不老
hard_tw_017	喇嘛肉喇嘛买，哑巴肉哑巴卖
hard_tw_018	石狮寺前有四十四个石狮子
hard_tw_019	司机开车拉肥料，肥料装满四车厢
hard_tw_020	妈妈骂马，马也骂妈妈
hard_tw_021	老龙恼怒闹老农，老农恼怒闹老龙
hard_tw_022	嘴对着水杯，水杯对着嘴
hard_tw_023	青龙洞里有青蛙，青蛙洞里有青龙
hard_tw_024	蓝教练是女教练，吕教练是男教练
hard_tw_025	牛肉炖萝卜，萝卜炖牛肉
hard_tw_026	树上结着四十四个涩柿子
hard_tw_027	出南门走六步，见着六叔和六舅
hard_tw_028	车上有个瓶，瓶上有个盆
hard_tw_029	哥挎瓜筐过宽沟，赶快过沟看怪狗
hard_tw_030	紫瓷盘装着黑葡萄，黑葡萄装在紫瓷盘
hard_tw_031	渣土车翻在山坡上，山坡上翻着渣土车
hard_tw_032	老陈和老程一起称大葱
hard_tw_033	十四辆水车拉水四十次
hard_tw_034	粗中出细活，细中见粗心
hard_tw_035	南南有个篮，篮里装着蓝布衫
hard_tw_036	磨面磨米磨麦麸，磨完面粉磨米粉
hard_tw_037	赵庄有个赵大壮，庄外有个张大壮
hard_tw_038	吃橘子剥橘子皮，橘子皮包着橘子肉
hard_tw_039	胖娃娃抱着大西瓜，西瓜滚到桥下
hard_tw_040	草原上跑来一群灰灰的小灰兔
# ---------------- 长句 >40 字（40）----------------
hard_long_001	在人工智能技术飞速发展的今天，语音合成系统已经能够生成接近真人水平的自然语音，但在处理超长句子时仍然面临韵律不自然与气口分配失衡的挑战。
hard_long_002	根据最新发布的行业研究报告显示，边缘计算设备上的模型推理效率在过去两年内提升了将近三倍，这主要得益于专用神经网络加速器的普及以及量化算法的持续优化。
hard_long_003	他一边整理着桌上散乱的文件，一边回想起昨天会议上大家激烈争论的那个技术方案，越想越觉得当初的判断可能存在明显的疏漏。
hard_long_004	这座城市的地铁网络经过十余年的持续建设，已经从最初的两条线路扩展到覆盖全部行政区的十六条线路，日均客运量突破了一千万人次。
hard_long_005	研究团队在实验中发现，当输入音频的信噪比低于某个临界值时，模型的识别准确率会出现急剧下降，而这个临界值又与训练数据的噪声分布密切相关。
hard_long_006	尽管所有参与讨论的工程师都认可这个架构在理论上的优雅性，但考虑到实际部署环境中内存资源的严格限制，最终还是选择了更加保守的实现方案。
hard_long_007	春天的午后，阳光透过窗户洒在木质地板上，屋子里安静得只能听见挂钟的滴答声和窗外偶尔传来的几声鸟鸣。
hard_long_008	这项政策的实施细则明确规定，凡是在规定期限内完成申报并且材料齐全的申请人，都可以享受相应的税收优惠待遇。
hard_long_009	从技术演进的角度来看，端侧推理与云端推理并不是相互替代的关系，而是根据延迟要求隐私约束以及成本结构的不同呈现出互补的态势。
hard_long_010	老人坐在院子里的藤椅上，眼神望着远处逐渐暗下来的天色，嘴里轻轻哼着一首年轻时常听的老歌，仿佛又回到了那个夏天。
hard_long_011	为了验证这个假设是否成立，我们设计了一组对照实验，分别在不同采样率不同码率以及不同混响强度的条件下测量系统的输出质量。
hard_long_012	随着城市化进程的不断推进，如何在有限的土地资源上兼顾居住品质与商业活力，成为摆在城市规划者面前的一道现实难题。
hard_long_013	那本被翻得书页发黄的旧词典，静静躺在书架最上层的角落里，扉页上还留着他学生时代用钢笔写下的名字和日期。
hard_long_014	实验结果表明，在保持模型参数量基本不变的前提下，通过调整注意力机制的稀疏模式可以显著降低长序列输入时的计算开销。
hard_long_015	她一路快跑赶到车站，气喘吁吁地抬头看向电子屏，才发现自己要坐的那趟列车早在二十分钟前就已经开走了。
hard_long_016	这份合同的条款经过双方法务部门反复磋商，在权责划分违约赔偿以及争议解决方式等关键问题上都做了非常细致的约定。
hard_long_017	山间的清晨薄雾弥漫，远处的峰峦只露出模糊的轮廓，脚下的石阶被露水打湿显得格外滑，每一步都要走得小心。
hard_long_018	考虑到不同用户群体在使用习惯上存在明显差异，产品团队决定在新版本中同时保留经典模式和简化模式两套交互逻辑。
hard_long_019	他把整件事情的来龙去脉从头到尾讲了一遍，包括最初是谁提出的想法中间经历了哪些波折以及最后为什么会走到这一步。
hard_long_020	该算法的核心思想在于将原本需要全局搜索的优化问题分解成若干个局部子问题，再通过迭代的方式逐步逼近全局最优解。
hard_long_021	窗外的雨已经下了整整一夜，屋檐下积起的水洼倒映着对面楼房零星的灯光，整条街道显得比平日里安静许多。
hard_long_022	从长期趋势判断，制造业的智能化转型不会是一蹴而就的过程，它需要设备改造工艺重构以及人员技能提升三方面协同推进。
hard_long_023	主持人简单介绍了到场嘉宾的身份背景之后，便把话筒交给了坐在最左侧的那位研究员，请他先谈谈自己的看法。
hard_long_024	这台设备在连续运行超过七十二小时之后开始出现间歇性的数据丢包现象，工程师排查了很久才定位到是散热不良导致的。
hard_long_025	教育资源分配不均的问题在城乡之间表现得尤为突出，这既涉及师资力量的差距也与基础设施投入的历史欠账有关。
hard_long_026	他在笔记本的最后一页写下了这样一句话，然后合上本子放进抽屉，像是要把某段过去也一并锁进那个狭小的空间里。
hard_long_027	为了让系统在弱网环境下也能保持基本可用，开发团队引入了本地缓存机制并对关键请求设置了多级重试与降级策略。
hard_long_028	沿着河堤一直往下游走，可以看到成片的芦苇在风里起伏，偶尔有水鸟从苇丛中惊起，扑打着翅膀飞向对岸。
hard_long_029	评审专家在意见书中指出，该方案虽然在技术路线上具备一定的创新性，但对实施过程中可能遇到的风险估计明显不足。
hard_long_030	这门课程的考核方式与以往完全不同，平时的小组作业和课堂讨论表现将占到总成绩的一半以上，期末考试只是其中一部分。
hard_long_031	她把行李箱在玄关处放下，环视了一圈这个阔别多年的房间，家具的摆放几乎没有变化，只是墙上多了几幅陌生的照片。
hard_long_032	实践证明，单纯依靠增加模型规模来提升性能的路径正在逐渐失效，数据质量与训练策略的精细化设计变得越来越关键。
hard_long_033	会议一直开到深夜，与会者对方案的可行性各持己见，直到主持人提议先搁置争议把已经达成共识的部分推进下去。
hard_long_034	这条老街两侧的建筑保留了上世纪初的砖木结构，屋檐下的木雕虽然已经褪色但仍能看出当年工匠精细的手艺。
hard_long_035	针对用户反馈中集中出现的几类问题，技术支持部门整理出了一份详细的排查手册，并把常见故障的处理步骤做成了图文教程。
hard_long_036	他学着父亲当年的样子把茶叶放进壶里，注入刚烧开的水，等着茶叶慢慢舒展开来，屋子里渐渐弥漫开熟悉的香气。
hard_long_037	从工程实现的角度出发，任何看起来优雅的抽象最终都要面对具体硬件的约束，包括带宽的限制缓存的层级以及指令集的差异。
